language,number of characters,percentage of total characters
en,1051665177484,92.09864%
fr,20309400904,1.77858%
de,19136098380,1.67583%
es,9007559288,0.78883%
it,7322862470,0.64129%
pt,6203099243,0.54323%
nl,4049596619,0.35464%
ru,2562941612,0.22445%
pl,2108747016,0.18467%
ro,1893347238,0.16581%
ja,1839624833,0.16110%
fi,1833334362,0.16055%
zh,1828425488,0.16012%
da,1378441965,0.12072%
sv,1375230893,0.12043%
no,1308235397,0.11457%
hu,915478070,0.08017%
cs,895960781,0.07846%
tr,822088508,0.07199%
id,788762151,0.06908%
hr,648782481,0.05682%
el,391298494,0.03427%
vi,385194550,0.03373%
ar,347863128,0.03046%
sr,329047895,0.02882%
zh-Hant,307203079,0.02690%
ca,200204951,0.01753%
sk,178526882,0.01563%
sl,168541068,0.01476%
ko,166606790,0.01459%
et,155847809,0.01365%
th,132290925,0.01159%
uk,106674892,0.00934%
lv,95524752,0.00837%
lt,93295278,0.00817%
fa,89917051,0.00787%
ms,86819698,0.00760%
bs,82688510,0.00724%
iw,77574561,0.00679%
is,74815624,0.00655%
sq,53984529,0.00473%
tl,50598813,0.00443%
jw,44370802,0.00389%
gl,42190530,0.00369%
bg,36982817,0.00324%
hi,32973377,0.00289%
af,31596385,0.00277%
cy,18583807,0.00163%
az,17544167,0.00154%
ta,16969536,0.00149%
ga,16333324,0.00143%
mr,10908648,0.00096%
uz,10520330,0.00092%
ml,9846956,0.00086%
bn,9476525,0.00083%
rw,7769601,0.00068%
ceb,7637612,0.00067%
kn,7247885,0.00063%
eu,7240696,0.00063%
ka,6892199,0.00060%
my,6872846,0.00060%
ku,6141015,0.00054%
hy,5852081,0.00051%
te,5459303,0.00048%
kk,5261833,0.00046%
gd,4730222,0.00041%
mt,4526552,0.00040%
sw,3751233,0.00033%
be,3550142,0.00031%
ne,3520611,0.00031%
km,3339136,0.00029%
mk,3315574,0.00029%
ur,3304237,0.00029%
st,3288532,0.00029%
mg,3146474,0.00028%
ht,2499304,0.00022%
pa,2396522,0.00021%
si,2349140,0.00021%
lo,2070101,0.00018%
lg,1721003,0.00015%
gu,1673043,0.00015%
su,1369411,0.00012%
tg,1185110,0.00010%
yi,1134806,0.00010%
ny,1098953,0.00010%
hmn,892319,0.00008%
ky,686551,0.00006%
or,431618,0.00004%
dv,341091,0.00003%
xx-Goth,267028,0.00002%
xx-Runr,235117,0.00002%
iu,208741,0.00002%
xx-Qaai,182333,0.00002%
bh,151835,0.00001%
syr,94109,0.00001%
mn,46819,0.00000%
xx-Phnx,27086,0.00000%
xx-Tfng,24878,0.00000%
xx-Egyp,20079,0.00000%
xx-Nkoo,17216,0.00000%
xx-Cakm,14832,0.00000%
chr,12933,0.00000%
xx-Yiii,9717,0.00000%
xx-Java,7504,0.00000%
xx-Dsrt,7330,0.00000%
xx-Phag,6847,0.00000%
xx-Tavt,5331,0.00000%
xx-Copt,3960,0.00000%
xx-Glag,3811,0.00000%
xx-Olck,3736,0.00000%
xx-Sund,3095,0.00000%
xx-Shaw,2836,0.00000%
xx-Samr,1529,0.00000%
xx-Avst,941,0.00000%
xx-Bopo,894,0.00000%
xx-Ogam,558,0.00000%
xx-Linb,431,0.00000%
xx-Cham,244,0.00000%
