language,number of words,percentage of total words
en,181014683608,92.64708%
fr,3553061536,1.81853%
de,2870869396,1.46937%
es,1510070974,0.77289%
it,1187784217,0.60793%
pt,1025413869,0.52483%
nl,669055061,0.34244%
ru,368157074,0.18843%
ro,308182352,0.15773%
pl,303812362,0.15550%
fi,221644679,0.11344%
da,221551540,0.11339%
sv,220920577,0.11307%
ja,217047918,0.11109%
no,212193299,0.10860%
zh,193517396,0.09905%
cs,139918438,0.07161%
hu,127224375,0.06512%
id,116930321,0.05985%
tr,116141938,0.05944%
hr,101613675,0.05201%
vi,83077650,0.04252%
el,61607673,0.03153%
ar,60839973,0.03114%
sr,52875283,0.02706%
zh-Hant,38583893,0.01975%
ca,35126650,0.01798%
ko,33147663,0.01697%
sk,27957963,0.01431%
th,26806557,0.01372%
sl,26037337,0.01333%
et,20718080,0.01060%
fa,16731301,0.00856%
iw,15027640,0.00769%
uk,14905898,0.00763%
ms,13389340,0.00685%
lv,13290098,0.00680%
bs,13160941,0.00674%
lt,12921255,0.00661%
is,12792837,0.00655%
hi,9434632,0.00483%
sq,9253803,0.00474%
tl,8650331,0.00443%
gl,6947527,0.00356%
jw,6604056,0.00338%
bg,5919807,0.00303%
af,5461216,0.00280%
ta,5163171,0.00264%
mr,3660217,0.00187%
cy,3459671,0.00177%
ml,3227746,0.00165%
bn,3003033,0.00154%
ga,2878943,0.00147%
az,2496202,0.00128%
kn,1913389,0.00098%
my,1853421,0.00095%
te,1638366,0.00084%
uz,1458861,0.00075%
rw,1430208,0.00073%
ceb,1329456,0.00068%
ne,1120450,0.00057%
ku,1091032,0.00056%
eu,1048905,0.00054%
km,1041164,0.00053%
ka,924256,0.00047%
gd,841970,0.00043%
hy,840171,0.00043%
mt,748610,0.00038%
si,708343,0.00036%
pa,703086,0.00036%
ur,689768,0.00035%
kk,670231,0.00034%
sw,585858,0.00030%
st,538257,0.00028%
be,533405,0.00027%
mk,529413,0.00027%
mg,507043,0.00026%
gu,494798,0.00025%
lo,449476,0.00023%
ht,430911,0.00022%
lg,261217,0.00013%
yi,227609,0.00012%
tg,210167,0.00011%
su,208819,0.00011%
hmn,175972,0.00009%
ny,161994,0.00008%
or,131688,0.00007%
dv,112819,0.00006%
ky,91289,0.00005%
bh,48094,0.00002%
xx-Goth,48025,0.00002%
xx-Runr,37558,0.00002%
iu,31142,0.00002%
syr,21482,0.00001%
mn,7779,0.00000%
xx-Phnx,4343,0.00000%
xx-Qaai,4185,0.00000%
xx-Egyp,3395,0.00000%
xx-Nkoo,3338,0.00000%
xx-Tfng,3277,0.00000%
xx-Cakm,2608,0.00000%
xx-Yiii,2357,0.00000%
chr,2315,0.00000%
xx-Phag,1750,0.00000%
xx-Tavt,1622,0.00000%
xx-Dsrt,1504,0.00000%
xx-Java,1448,0.00000%
xx-Sund,780,0.00000%
xx-Copt,707,0.00000%
xx-Glag,673,0.00000%
xx-Olck,573,0.00000%
xx-Shaw,542,0.00000%
xx-Samr,313,0.00000%
xx-Avst,213,0.00000%
xx-Bopo,188,0.00000%
xx-Linb,156,0.00000%
xx-Ogam,84,0.00000%
xx-Cham,49,0.00000%
